Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url,match_name,fifa_name,fifa_full_name,fifa_birth_date,fifa_age,fifa_height_cm,fifa_weight_kgs,fifa_positions,fifa_nationality,fifa_overall_rating,fifa_potential,fifa_value_euro,fifa_wage_euro,fifa_preferred_foot,fifa_international_reputation(1-5),fifa_weak_foot(1-5),fifa_skill_moves(1-5),fifa_body_type,fifa_release_clause_euro,fifa_national_team,fifa_national_rating,fifa_national_team_position,fifa_national_jersey_number,fifa_crossing,fifa_finishing,fifa_heading_accuracy,fifa_short_passing,fifa_volleys,fifa_dribbling,fifa_curve,fifa_freekick_accuracy,fifa_long_passing,fifa_ball_control,fifa_acceleration,fifa_sprint_speed,fifa_agility,fifa_reactions,fifa_balance,fifa_shot_power,fifa_jumping,fifa_stamina,fifa_strength,fifa_long_shots,fifa_aggression,fifa_interceptions,fifa_positioning,fifa_vision,fifa_penalties,fifa_composure,fifa_marking,fifa_standing_tackle,fifa_sliding_tackle,fifa_match_fullname,fuzzy_match_score
Charlie Taylor,ENG,DF,30,8,3,356,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,charlie taylor,Defender,left,183.0,GB1,2800000.0,7000000.0,https://img.a.transfermarkt.technology/portrait/header/195633-1700671881.jpg?lm=1,https://www.transfermarkt.co.uk/charlie-taylor/profil/spieler/195633,charlie taylor,C. Taylor,Charlie Taylor,9/18/1993,25,185.42,69.9,LB,England,75,78,7000000.0,36000.0,Left,1,2,3,Normal,13800000.0,,,,,75,49,71,72,43,73,69,61,67,73,71,72,72,71,71,63,73,74,70,59,74,74,63,65,45,70,74,76,75,charlie taylor,100
Joe Lumley,ENG,GB,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joe lumley,Goalkeeper,right,190.0,GB1,600000.0,1000000.0,https://img.a.transfermarkt.technology/portrait/header/336367-1709158388.jpg?lm=1,https://www.transfermarkt.co.uk/joe-lumley/profil/spieler/336367,joe lumley,J. Lumley,Joe Lumley,2/15/1995,24,190.5,73.0,GK,England,65,72,550000.0,2000.0,Right,1,3,1,Lean,1200000.0,,,,,18,12,19,21,15,19,15,13,18,23,43,46,30,62,51,19,51,38,51,16,26,25,19,45,17,28,20,19,20,joe lumley,100
Armel Bella Kotchap,GER,DF,22,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,armel bella kotchap,Defender,right,190.0,GB1,12000000.0,20000000.0,https://img.a.transfermarkt.technology/portrait/header/467563-1663251475.jpg?lm=1,https://www.transfermarkt.co.uk/armel-bella-kotchap/profil/spieler/467563,armel bella kotchap,A. Bella-Kotchap,Armel Bella-Kotchap,12/11/2001,17,190.5,87.1,CB,Germany,54,76,130000.0,1000.0,Right,1,5,2,Stocky,338000.0,,,,,31,20,35,36,24,27,22,22,38,41,70,72,43,44,44,38,71,54,77,20,55,53,29,41,33,40,48,59,55,armel bella-kotchap,100
Maxwel Cornet,CIV,AT,27,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,maxwel cornet,Attack,left,179.0,IT1,8000000.0,18000000.0,https://img.a.transfermarkt.technology/portrait/header/234781-1739281982.jpg?lm=1,https://www.transfermarkt.co.uk/maxwel-cornet/profil/spieler/234781,maxwel cornet,M. Cornet,Maxwel Cornet,9/27/1996,22,152.4,68.9,"RW,LW,RM,ST",Ivory Coast,75,80,9000000.0,41000.0,Left,1,5,3,Normal,17800000.0,,,,,67,75,68,73,67,74,68,65,53,74,87,87,81,69,78,80,71,82,68,75,58,35,76,66,64,65,34,31,29,maxwel cornet,100
Pedri,ESP,MT,21,37,35,"2,879",32.0,4,5,9,4,0,0,3,0,2.2,2.2,7.4,9.6,92,360,136,0.13,0.16,0.28,0.13,0.28,0.07,0.23,0.3,0.07,0.3,pedri,Midfield,right,174.0,ES1,120000000.0,120000000.0,https://img.a.transfermarkt.technology/portrait/header/683840-1744278342.jpg?lm=1,https://www.transfermarkt.co.uk/pedri/profil/spieler/683840,pedri,Pedro,Pedro Eliezer Rodríguez Ledesma,7/28/1987,31,170.18,64.9,"RW,LW",Spain,82,82,21000000.0,140000.0,Right,3,5,4,Lean,38900000.0,,,,,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,pedro eliezer rodríguez ledesma,80
Robert Lewandowski,POL,AT,35,34,32,"2,667",29.6,27,2,29,24,3,4,1,0,27.1,24.0,2.3,26.3,27,48,164,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,robert lewandowski,Attack,right,185.0,ES1,15000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/38253-1701118759.jpg?lm=1,https://www.transfermarkt.co.uk/robert-lewandowski/profil/spieler/38253,robert lewandowski,R. Lewandowski,Robert Lewandowski,8/21/1988,30,182.88,79.8,ST,Poland,90,90,77000000.0,205000.0,Right,4,4,4,Normal,127100000.0,Poland,77.0,ST,9.0,62,91,85,83,89,85,77,86,65,89,77,78,78,90,79,88,84,78,84,84,80,39,91,77,86,86,34,42,19,robert lewandowski,100
Jules Koundé,FRA,DF,25,32,29,"2,605",28.9,2,3,5,2,0,0,4,0,1.8,1.8,3.9,5.7,44,165,190,0.07,0.1,0.17,0.07,0.17,0.06,0.13,0.2,0.06,0.2,jules kounde,Defender,right,180.0,ES1,60000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/411975-1702502639.jpg?lm=1,https://www.transfermarkt.co.uk/jules-kounde/profil/spieler/411975,jules kounde,J. Koundé,Jules Koundé,11/12/1998,20,154.94,74.8,CB,France,75,87,10000000.0,14000.0,Right,1,3,2,Normal,22000000.0,,,,,26,29,77,69,32,57,27,26,59,66,72,70,64,74,75,41,81,68,69,23,66,76,28,33,43,75,76,79,77,jules koundé,96
Iñigo Martínez,ESP,DF,33,28,28,"2,490",27.7,0,4,4,0,0,0,5,0,0.5,0.5,2.6,3.1,70,260,11,0.0,0.14,0.14,0.0,0.14,0.02,0.1,0.11,0.02,0.11,inigo martinez,Defender,left,182.0,ES1,5000000.0,32000000.0,https://img.a.transfermarkt.technology/portrait/header/158863-1730119186.jpg?lm=1,https://www.transfermarkt.co.uk/inigo-martinez/profil/spieler/158863,inigo martinez,Iñigo Martínez,Íñigo Martínez Berridi,5/17/1991,27,182.88,77.1,CB,Spain,80,81,14000000.0,27000.0,Left,2,2,2,Normal,30500000.0,Spain,85.0,LCB,4.0,51,42,73,71,37,53,72,51,81,70,71,74,67,75,64,81,90,71,80,74,84,81,48,46,39,69,78,80,83,íñigo martínez berridi,92
Alejandro Balde,ESP,DF,20,32,26,"2,284",25.4,0,4,4,0,0,0,2,0,0.5,0.5,3.4,3.9,107,93,246,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15,alejandro balde,Defender,left,175.0,ES1,60000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/636688-1662836200.jpg?lm=1,https://www.transfermarkt.co.uk/alejandro-balde/profil/spieler/636688,alejandro balde,A. Peláez,Alejandro Peláez,2/4/1994,25,187.96,84.8,GK,Mexico,60,65,200000.0,2000.0,Right,1,2,1,Normal,355000.0,,,,,20,17,20,37,18,21,20,18,29,24,40,41,37,60,55,25,56,26,69,13,27,27,12,25,21,40,27,18,21,alejandro peláez,80
Marc Casado,ESP,MT,20,23,20,"1,611",17.9,1,3,4,1,0,0,4,1,1.1,1.1,1.4,2.4,12,107,24,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13,marc casado,Midfield,right,172.0,ES1,30000000.0,30000000.0,https://img.a.transfermarkt.technology/portrait/header/636695-1729771427.jpg?lm=1,https://www.transfermarkt.co.uk/marc-casado/profil/spieler/636695,marc casado,Marc Aguado,Marc Aguado Pallarés,2/22/2000,19,152.4,68.0,CM,Spain,62,82,625000.0,1000.0,Left,1,3,2,Lean,1600000.0,,,,,57,49,50,69,48,60,54,51,66,65,68,64,65,61,69,62,57,60,51,45,46,35,51,62,58,69,43,60,54,marc aguado pallarés,82
