Unnamed: 0,Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url
1212,Matias Moreno,ARG,DF,20,4,2,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,matias moreno,Defender,right,193.0,IT1,4000000.0,4000000.0,https://img.a.transfermarkt.technology/portrait/header/1144700-1730183072.jpg?lm=1,https://www.transfermarkt.co.uk/matias-moreno/profil/spieler/1144700
1213,Antonín Barák,CZE,MT,29,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.0,0.0,0.0,0.0,0.0,0.13,0.47,0.6,0.13,0.6,antonin barak,Midfield,left,190.0,TR1,3000000.0,20000000.0,https://img.a.transfermarkt.technology/portrait/header/272261-1727699332.jpg?lm=1,https://www.transfermarkt.co.uk/antonin-barak/profil/spieler/272261
1214,Alessandro Bianco,ITA,MT,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alessandro bianco,Midfield,right,173.0,IT1,5000000.0,5000000.0,https://img.a.transfermarkt.technology/portrait/header/602124-1725528350.jpg?lm=1,https://www.transfermarkt.co.uk/alessandro-bianco/profil/spieler/602124
1215,Maat Daniel Caprini,ITA,AT,18,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,maat daniel caprini,Attack,right,180.0,IT1,2000000.0,2000000.0,https://img.a.transfermarkt.technology/portrait/header/996453-1707214283.jpg?lm=1,https://www.transfermarkt.co.uk/maat-daniel-caprini/profil/spieler/996453
1217,Mattéo Guendouzi,FRA,MT,25,37,37,"3,270",36.3,1,3,4,1,0,0,7,0,1.4,1.4,3.2,4.6,89,316,64,0.03,0.08,0.11,0.03,0.11,0.04,0.09,0.13,0.04,0.13,matteo guendouzi,Midfield,right,185.0,IT1,32000000.0,50000000.0,https://img.a.transfermarkt.technology/portrait/header/465830-1730125468.jpg?lm=1,https://www.transfermarkt.co.uk/matteo-guendouzi/profil/spieler/465830
1218,Mattia Zaccagni,ITA,AT,29,34,33,"2,686",29.8,8,6,14,6,2,2,10,0,6.4,4.9,4.6,9.5,91,114,264,0.27,0.2,0.47,0.2,0.4,0.22,0.15,0.37,0.16,0.32,mattia zaccagni,Attack,right,177.0,IT1,20000000.0,30000000.0,https://img.a.transfermarkt.technology/portrait/header/283735-1695026445.jpg?lm=1,https://www.transfermarkt.co.uk/mattia-zaccagni/profil/spieler/283735
1219,Mario Gila,ESP,DF,23,32,31,"2,741",30.5,1,0,1,1,0,0,8,0,1.1,1.1,0.6,1.7,48,157,12,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,mario gila,Defender,right,185.0,IT1,28000000.0,28000000.0,https://img.a.transfermarkt.technology/portrait/header/618341-1730127774.jpg?lm=1,https://www.transfermarkt.co.uk/mario-gila/profil/spieler/618341
1220,Nicolò Rovella,ITA,MT,22,33,31,"2,718",30.2,0,3,3,0,0,0,13,0,1.5,1.5,2.2,3.7,45,159,42,0.0,0.1,0.1,0.0,0.1,0.05,0.07,0.12,0.05,0.12,nicolo rovella,Midfield,right,179.0,IT1,28000000.0,28000000.0,https://img.a.transfermarkt.technology/portrait/header/525704-1730127184.jpg?lm=1,https://www.transfermarkt.co.uk/nicolo-rovella/profil/spieler/525704
1221,Alessio Romagnoli,ITA,DF,29,32,31,"2,672",29.7,2,0,2,2,0,0,4,2,2.4,2.4,0.3,2.6,8,90,4,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,alessio romagnoli,Defender,left,185.0,IT1,12000000.0,50000000.0,https://img.a.transfermarkt.technology/portrait/header/197747-1730125586.jpg?lm=1,https://www.transfermarkt.co.uk/alessio-romagnoli/profil/spieler/197747
1222,Ivan Provedel,ITA,GB,30,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,ivan provedel,Goalkeeper,right,194.0,IT1,7000000.0,14000000.0,https://img.a.transfermarkt.technology/portrait/header/197929-1695160944.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-provedel/profil/spieler/197929
