Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
25.0,3270.0,1.0,3.0,1.4,3.2,27.0,8.0,1961.0,2183.0,43.0,33.0,3.0,316.0,2437.0,89.0,15.0,18.0,1836.0,37.0,32.0,23.0,50.0,173.0,18.0,7.0,0.0,28.0,1.0,6.0,21.0,32000000.0,19.0,3.0,185.0,28,2,False,True,False,True
28.0,3240.0,1.0,3.0,2.2,1.3,21.0,5.0,1315.0,1568.0,8.0,6.0,1.0,96.0,1913.0,22.0,1.0,3.0,1190.0,48.0,33.0,12.0,161.0,139.0,61.0,4.0,0.0,23.0,1.0,8.0,8.0,4000000.0,0.0,0.0,191.0,327,9,False,False,True,False
28.0,3228.0,4.0,5.0,4.9,5.5,37.0,14.0,1129.0,1492.0,46.0,35.0,15.0,97.0,2010.0,62.0,21.0,20.0,956.0,123.0,44.0,39.0,108.0,171.0,58.0,10.0,0.0,56.0,1.0,6.0,74.0,25000000.0,4.0,1.0,181.0,56,12,False,False,False,True
30.0,3217.0,2.0,1.0,3.9,0.7,22.0,8.0,836.0,1084.0,17.0,20.0,8.0,53.0,1390.0,22.0,20.0,24.0,676.0,52.0,11.0,35.0,77.0,135.0,43.0,5.0,0.0,56.0,1.0,4.0,37.0,1400000.0,0.0,0.0,181.0,85,9,False,False,False,True
32.0,3204.0,1.0,2.0,1.3,1.5,17.0,4.0,1704.0,1944.0,36.0,24.0,4.0,208.0,2245.0,39.0,5.0,14.0,1506.0,79.0,38.0,16.0,57.0,146.0,28.0,6.0,0.0,47.0,1.0,6.0,19.0,5000000.0,8.0,2.0,180.0,160,20,False,True,False,True
24.0,3203.0,11.0,5.0,10.0,5.8,125.0,40.0,821.0,1119.0,46.0,45.0,8.0,109.0,1653.0,140.0,69.0,77.0,1140.0,55.0,11.0,40.0,39.0,158.0,66.0,9.0,0.0,73.0,5.0,10.0,59.0,40000000.0,0.0,0.0,185.0,267,4,True,False,False,True
22.0,3191.0,15.0,8.0,13.3,10.9,121.0,44.0,1140.0,1480.0,87.0,64.0,17.0,214.0,1851.0,120.0,51.0,37.0,1366.0,34.0,11.0,48.0,20.0,106.0,2.0,7.0,0.0,15.0,8.0,9.0,144.0,120000000.0,30.0,3.0,185.0,8,4,False,True,True,False
22.0,3188.0,2.0,0.0,1.4,1.2,25.0,6.0,1138.0,1450.0,13.0,13.0,1.0,115.0,1918.0,22.0,27.0,10.0,989.0,53.0,36.0,6.0,249.0,142.0,44.0,6.0,0.0,27.0,1.0,13.0,14.0,55000000.0,9.0,1.0,180.0,40,5,False,False,True,False
29.0,3186.0,0.0,3.0,0.7,1.1,13.0,2.0,1331.0,1600.0,21.0,21.0,4.0,135.0,1882.0,23.0,6.0,18.0,1199.0,61.0,35.0,20.0,82.0,146.0,31.0,9.0,0.0,42.0,2.0,2.0,15.0,4000000.0,0.0,0.0,185.0,82,27,False,True,False,True
27.0,3177.0,2.0,1.0,1.4,3.7,24.0,6.0,1544.0,1969.0,50.0,58.0,22.0,172.0,2266.0,66.0,11.0,9.0,1476.0,46.0,28.0,25.0,98.0,101.0,30.0,1.0,0.0,32.0,4.0,6.0,116.0,20000000.0,0.0,0.0,171.0,27,3,False,False,True,False
